Date,Open,High,Low,Close,Adj Close,Volume
01-01-2021,184.9499969,187,184.5,186.5,185.3485718,27334421
31-12-2020,184.8500061,187.5,182.8000031,183.8500061,182.7149353,48978310
30-12-2020,183.1000061,185.3999939,180.3999939,184.1499939,183.0130768,38576159
29-12-2020,187.8999939,188.4499969,181.1000061,183.4499969,182.3173981,71318085
28-12-2020,179.850006,187.399994,179,186.350006,185.771011,98012135
24-12-2020,172,178,172,175.949997,175.40332,73831319
23-12-2020,165,169.699997,163.399994,169.199997,168.674286,56930071
22-12-2020,164.550003,169.199997,156.699997,164.949997,164.4375,110009846
21-12-2020,176,177.550003,162.5,164.550003,164.038742,75582907
18-12-2020,180.899994,181.5,176.649994,180.550003,179.989029,46065197
17-12-2020,184,184,180.6499939,181.6999969,180.5782013,34101954
16-12-2020,181,183.800003,180.100006,182.550003,181.982819,51259394
15-12-2020,176.4499969,179.6999969,173.25,178.8999939,177.7954865,41190341
14-12-2020,181,181.5,176.699997,177.649994,177.098038,33186273
11-12-2020,150.949997,153.850006,150,151.199997,150.730209,56145517
10-12-2020,139.649994,139.649994,133,135.899994,135.477753,39279109
08-12-2020,121,126.4000015,120.5999985,125.3499985,124.5761032,50713617
06-12-2020,98,106.25,98,105.300003,104.972832,92989560
05-12-2020,85.949997,87.699997,83.5,86.199997,85.932175,77551590
03-12-2020,91.099998,94.900002,84.099998,88,87.726585,143550830
02-12-2020,173,173.3000031,169,170.9499969,169.894577,34621395
27-11-2020,174.6499939,183.8500061,174.6499939,180.3500061,179.2365417,125926062
26-11-2020,171.6000061,175,171.0500031,173.75,172.6772919,39094724
25-11-2020,175,176.8000031,169.25,171.4499969,170.3914795,54366608
24-11-2020,171.8500061,175.5,171.1000061,172.0500031,170.987793,47695247
23-11-2020,169.5,173.899994,165.550003,170.699997,170.169632,54566251
20-11-2020,170.0500031,171.5500031,165.5500031,169.1000061,168.0559998,66935703
19-11-2020,171.399994,176.350006,166.550003,167.949997,167.428177,109449407
18-11-2020,158.8500061,178.8000031,158.5500031,173.5,172.428833,171801183
17-11-2020,152.5,159.350006,152.199997,158,157.509094,82644841
14-11-2020,148.699997,150.800003,148,148.850006,148.387527,11749453
